instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
Ionosphere,4,0,1,0.9371428571428572,0.8181818181818182,0.7386363636363636,601.5177087783813,1.0
Ionosphere,4,0,2,0.9142857142857143,0.8181818181818182,0.7613636363636364,601.4910509586334,1.0
Ionosphere,4,0,3,0.9085714285714286,0.75,0.8977272727272727,601.1328699588776,1.0
Iris,4,0,1,1.0,0.8918918918918919,0.9736842105263158,85.32780575752258,0.0
Iris,4,0,2,1.0,0.8378378378378378,0.9210526315789473,24.546390056610107,0.0
Iris,4,0,3,1.0,0.918918918918919,0.9210526315789473,31.05079197883606,0.0
Statlog (German Credit Data),4,0,1,0.736,0.736,0.72,602.6589889526367,1.0
Statlog (German Credit Data),4,0,2,0.764,0.656,0.712,602.6272330284119,1.0
Statlog (German Credit Data),4,0,3,0.752,0.648,0.696,602.5735590457916,1.0
Wine,4,0,1,1.0,0.9318181818181818,0.8666666666666667,14.469840288162231,0.0
Wine,4,0,2,1.0,0.8181818181818182,0.9333333333333333,11.089625120162964,0.0
Wine,4,0,3,1.0,0.9772727272727273,0.9555555555555556,13.969897985458374,0.0
