instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
Breast Cancer,1,0.0,1,0.7391304347826086,0.6376811594202898,0.6857142857142857,0.2394537925720214,0.0
Breast Cancer,1,0.01,1,0.7391304347826086,0.6376811594202898,0.6857142857142857,0.1962218284606933,0.0
Breast Cancer,1,0.1,1,0.6811594202898551,0.6666666666666666,0.8,0.1762528419494629,0.0
Breast Cancer,2,0.0,1,0.782608695652174,0.6231884057971014,0.7285714285714285,48.266274213790894,0.0
Breast Cancer,2,0.01,1,0.782608695652174,0.6231884057971014,0.7285714285714285,51.14587211608887,0.0
Breast Cancer,2,0.1,1,0.6811594202898551,0.6666666666666666,0.8,22.785994052886963,0.0
Breast Cancer,3,0.0,1,0.8260869565217391,0.6956521739130435,0.6857142857142857,600.6379759311676,1.0
Breast Cancer,3,0.01,1,0.8260869565217391,0.6956521739130435,0.6714285714285714,600.4354910850525,0.90122941380557
Breast Cancer,3,0.1,1,0.6811594202898551,0.6666666666666666,0.8,600.2955188751221,0.3227272727272754
Breast Cancer,1,0.0,2,0.7536231884057971,0.7246376811594203,0.6857142857142857,0.1940968036651611,0.0
Breast Cancer,1,0.01,2,0.7536231884057971,0.7246376811594203,0.6857142857142857,0.1608388423919677,0.0
Breast Cancer,1,0.1,2,0.6884057971014492,0.7101449275362319,0.7428571428571429,0.2071030139923095,0.0
Breast Cancer,2,0.0,2,0.8043478260869565,0.6956521739130435,0.6714285714285714,21.97138929367065,0.0
Breast Cancer,2,0.01,2,0.8043478260869565,0.6956521739130435,0.6714285714285714,55.40715122222901,0.0
Breast Cancer,2,0.1,2,0.6884057971014492,0.7101449275362319,0.7428571428571429,39.60174012184143,0.0
Breast Cancer,3,0.0,2,0.8405797101449275,0.6956521739130435,0.7,600.5054728984833,1.0
Breast Cancer,3,0.01,2,0.8333333333333334,0.6521739130434783,0.7428571428571429,600.4035949707031,0.8630630630630631
