instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
Ionosphere,4,0.0,1,0.9371428571428572,0.8181818181818182,0.7386363636363636,601.5177087783813,1.0
Ionosphere,4,0.0,2,0.9142857142857144,0.8181818181818182,0.7613636363636364,601.4910509586334,1.0
Ionosphere,4,0.0,3,0.9085714285714286,0.75,0.8977272727272727,601.1328699588776,1.0
Iris,4,0.0,1,1.0,0.8918918918918919,0.9736842105263158,85.32780575752258,0.0
Iris,4,0.0,2,1.0,0.8378378378378378,0.9210526315789472,24.546390056610107,0.0
Iris,4,0.0,3,1.0,0.918918918918919,0.9210526315789472,31.05079197883606,0.0
Statlog (German Credit Data),4,0.0,1,0.736,0.736,0.72,602.6589889526367,1.0
Statlog (German Credit Data),4,0.0,2,0.764,0.656,0.712,602.6272330284119,1.0
Statlog (German Credit Data),4,0.0,3,0.752,0.648,0.696,602.5735590457916,1.0
Wine,4,0.0,1,1.0,0.9318181818181818,0.8666666666666667,14.469840288162231,0.0
Wine,4,0.0,2,1.0,0.8181818181818182,0.9333333333333332,11.089625120162964,0.0
Wine,4,0.0,3,1.0,0.9772727272727272,0.9555555555555556,13.969897985458374,0.0
Breast Cancer,1,0.0,1,0.7391304347826086,0.6376811594202898,0.6857142857142857,0.3528869152069092,0.0
Breast Cancer,1,0.01,1,0.7391304347826086,0.6376811594202898,0.6857142857142857,0.2624499797821045,0.0
Breast Cancer,1,0.1,1,0.6811594202898551,0.6666666666666666,0.8,0.4472370147705078,0.0
Breast Cancer,2,0.0,1,0.782608695652174,0.6231884057971014,0.7285714285714285,57.45836329460144,0.0
Breast Cancer,2,0.01,1,0.782608695652174,0.6231884057971014,0.7285714285714285,56.02908420562744,0.0
Breast Cancer,2,0.1,1,0.6811594202898551,0.6666666666666666,0.8,23.638906955719,0.0
Breast Cancer,3,0.0,1,0.8260869565217391,0.6956521739130435,0.6857142857142857,600.5497789382935,1.0
Breast Cancer,3,0.01,1,0.8260869565217391,0.6956521739130435,0.7,600.5033829212189,0.8689895470383275
Breast Cancer,3,0.1,1,0.6811594202898551,0.6666666666666666,0.8,600.2830121517181,0.1227272727272725
Breast Cancer,4,0.0,1,0.8115942028985508,0.6666666666666666,0.6714285714285714,600.6719670295715,1.0
Breast Cancer,4,0.01,1,0.8405797101449275,0.7101449275362319,0.6714285714285714,600.7707390785217,0.9145527042031776
Breast Cancer,4,0.1,1,0.6811594202898551,0.6666666666666666,0.8,600.6937408447266,0.336363636363639
Breast Cancer,1,0.0,2,0.7536231884057971,0.7246376811594203,0.6857142857142857,0.1756439208984375,0.0
Breast Cancer,1,0.01,2,0.7536231884057971,0.7246376811594203,0.6857142857142857,0.2116658687591552,0.0
Breast Cancer,1,0.1,2,0.6884057971014492,0.7101449275362319,0.7428571428571429,0.1949429512023925,0.0
Breast Cancer,2,0.0,2,0.8043478260869565,0.6956521739130435,0.6714285714285714,16.24362874031067,0.0
Breast Cancer,2,0.01,2,0.8043478260869565,0.6956521739130435,0.6714285714285714,20.698058128356934,0.0
Breast Cancer,2,0.1,2,0.6884057971014492,0.7101449275362319,0.7428571428571429,41.3604109287262,0.0
Breast Cancer,3,0.0,2,0.8333333333333334,0.6521739130434783,0.7428571428571429,600.5769770145416,1.0
Breast Cancer,3,0.01,2,0.8043478260869565,0.7391304347826086,0.6857142857142857,600.5381281375885,0.8740157480314962
Breast Cancer,3,0.1,2,0.6884057971014492,0.7101449275362319,0.7428571428571429,574.8369326591492,0.0
Breast Cancer,4,0.0,2,0.8333333333333334,0.6666666666666666,0.6428571428571429,600.7259840965271,1.0
Breast Cancer,4,0.01,2,0.8260869565217391,0.6521739130434783,0.6142857142857143,600.6954109668732,0.9070146818923328
Breast Cancer,1,0.0,3,0.7608695652173914,0.7536231884057971,0.6714285714285714,0.2069160938262939,0.0
Breast Cancer,1,0.01,3,0.7608695652173914,0.7536231884057971,0.6714285714285714,0.2142751216888427,0.0
Breast Cancer,1,0.1,3,0.7391304347826086,0.7101449275362319,0.6428571428571429,0.2270560264587402,0.0
Breast Cancer,4,0.1,2,0.6884057971014492,0.7101449275362319,0.7428571428571429,600.8008649349213,0.3023255813953484
Breast Cancer,2,0.0,3,0.8043478260869565,0.7971014492753623,0.7,48.654032945632935,0.0
Breast Cancer,2,0.01,3,0.8043478260869565,0.7971014492753623,0.7,15.40504002571106,0.0
Breast Cancer,2,0.1,3,0.7391304347826086,0.7101449275362319,0.6428571428571429,11.82842183113098,0.0
