instance,depth,OCTWS,OCTnoWS,OCTWSModified
Breast Cancer,1,0.0,0.0,0.0
Breast Cancer,2,0.0,0.0,0.0
Breast Cancer,3,0.6959324839048877,0.6682070691210775,0.636949076067357
Breast Cancer,4,0.7204298550489237,0.7323105391377839,0.7058687319250636
Car Evaluation,1,0.0,0.0,0.0
Car Evaluation,2,0.4988604097909389,0.5512312199284313,0.28529623518634184
Car Evaluation,3,0.8112394267992714,0.807477968746181,0.8029923906010333
Car Evaluation,4,0.8776920364211382,0.8774363404112182,0.8606390388961809
Credit Approval,1,0.0,0.0,0.0
Credit Approval,2,0.6508715695558565,0.6483005879051958,0.6211711878931145
Credit Approval,3,0.8081144584941282,0.7853130842246184,0.7801097871871294
Credit Approval,4,0.7888914721907686,0.7962041437301376,0.7787745507583452
Heart Disease,1,0.0,0.0,0.0
Heart Disease,2,0.5222468312755646,0.2708758929489175,0.4282177320827078
Heart Disease,3,0.8584862501427386,0.8508070025397764,0.8519981179566068
Heart Disease,4,0.8967013719466527,0.894418874211004,0.8824820187367425
Ionosphere,1,0.0,0.0,0.0
Ionosphere,2,0.5392851711393358,0.48732823848801954,0.522940222468145
Ionosphere,3,0.6576005623528486,0.6453668472834513,0.6490608912700293
Ionosphere,4,0.6239629320370161,0.6239629320370161,0.6478559070772643
Iris,1,0.0,0.0,0.0
Iris,2,0.0,0.0,0.0
Iris,3,0.0,0.0,0.0
Iris,4,0.13509615384615384,0.08888888888888889,0.0
Mushroom,1,0.0,0.0,0.0
Mushroom,2,0.5172271273844746,0.569777579428261,0.517227127384471
Mushroom,3,0.8288058863097791,0.8320241238073393,0.8647482297335478
Mushroom,4,0.9042562884915522,0.9042562884915522,0.9417627637293096
Statlog (German Credit Data),1,0.0,0.0,0.0
Statlog (German Credit Data),2,0.8302644107195054,0.8303162101324402,0.8309315917316488
Statlog (German Credit Data),3,0.8300959550086069,0.853233632993031,0.8313644251488715
Statlog (German Credit Data),4,0.8321296251800414,0.8316936825271966,0.8309119515172048
Wine,1,0.0,0.0,0.0
Wine,2,0.0,0.0,0.0
Wine,3,0.0,0.0,0.0
Wine,4,0.0,0.0,0.0
Zoo,1,0.0,0.0,0.0
Zoo,2,0.0,0.0,0.0
Zoo,3,0.0,0.0,2.528299661611772e-08
Zoo,4,0.38863821959625006,0.3819477952358249,0.3911820993549383
