instance,depth,OCTWS,OCTNoWS,OCTWSModified,CART
Breast Cancer,1,0.7512077294685989,0.7512077294685989,0.7512077294685989,0.7487922705314011
Breast Cancer,2,0.7971014492753623,0.7971014492753623,0.7971014492753623,0.7826086956521738
Breast Cancer,3,0.8357487922705314,0.8285024154589372,0.8333333333333334,0.8067632850241546
Breast Cancer,4,0.8309178743961353,0.8260869565217392,0.8309178743961353,0.8212560386473431
Car Evaluation,1,0.7048611111111112,0.7048611111111112,0.7048611111111112,0.7048611111111112
Car Evaluation,2,0.7746913580246914,0.7746913580246914,0.7746913580246914,0.7743055555555557
Car Evaluation,3,0.7766203703703703,0.8090277777777778,0.8009259259259259,0.7962962962962963
Car Evaluation,4,0.7978395061728395,0.7978395061728395,0.8171296296296297,0.8522376543209876
Credit Approval,1,0.8588957055214724,0.8588957055214724,0.8588957055214724,0.8588957055214724
Credit Approval,2,0.8619631901840491,0.8629856850715747,0.8619631901840491,0.8588957055214724
Credit Approval,3,0.9038854805725972,0.8803680981595092,0.8977505112474438,0.8834355828220858
Credit Approval,4,0.901840490797546,0.8742331288343559,0.908997955010225,0.9120654396728017
Heart Disease,1,0.5788288288288288,0.5788288288288288,0.5788288288288288,0.5743243243243243
Heart Disease,2,0.6238738738738738,0.6328828828828829,0.6328828828828829,0.6126126126126126
Heart Disease,3,0.6914414414414415,0.6621621621621622,0.6891891891891891,0.686936936936937
Heart Disease,4,0.7387387387387387,0.6869369369369368,0.7432432432432433,0.7252252252252251
Ionosphere,1,0.8704761904761904,0.8704761904761904,0.8704761904761904,0.8704761904761904
Ionosphere,2,0.9066666666666667,0.9066666666666667,0.9028571428571429,0.8819047619047619
Ionosphere,3,0.9238095238095237,0.9276190476190477,0.9257142857142857,0.8914285714285715
Ionosphere,4,0.9171428571428573,0.9171428571428573,0.92,0.9066666666666667
Iris,1,0.6933333333333334,0.6933333333333334,0.6755555555555555,0.6666666666666666
Iris,2,0.96,0.9555555555555556,0.9555555555555556,0.9511111111111111
Iris,3,0.9911111111111112,0.9911111111111112,0.9911111111111112,0.96
Iris,4,0.9955555555555556,1.0,1.0,0.9644444444444445
Mushroom,1,0.940231514292464,0.940231514292464,0.940231514292464,0.940231514292464
Mushroom,2,0.984880699267659,0.984880699267659,0.984880699267659,0.984880699267659
Mushroom,3,0.9567682494684622,0.9567682494684622,0.9292463973541224,0.984880699267659
Mushroom,4,0.7547838412473423,0.7547838412473423,0.6279234585400425,0.984880699267659
Statlog (German Credit Data),1,0.7113333333333333,0.7113333333333333,0.7113333333333333,0.6953333333333332
Statlog (German Credit Data),2,0.7319999999999999,0.7319999999999999,0.7319999999999999,0.7200000000000001
Statlog (German Credit Data),3,0.7466666666666667,0.7466666666666667,0.7386666666666667,0.73
Statlog (German Credit Data),4,0.743,0.7253333333333334,0.7506666666666666,0.7453333333333333
Wine,1,0.7359550561797753,0.7359550561797753,0.7228464419475656,0.7153558052434458
Wine,2,0.9831460674157303,0.9831460674157303,0.9812734082397002,0.9700374531835205
Wine,3,1.0,1.0,1.0,0.9812734082397002
Wine,4,1.0,1.0,1.0,0.9812734082397002
Zoo,1,0.5800000000000001,0.5800000000000001,0.5800000000000001,0.5800000000000001
Zoo,2,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7200000000000001
Zoo,3,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.82
Zoo,4,0.9733333333333333,0.9733333333333333,0.9733333333333333,0.8866666666666667
