instance,depth,OCTWS,OCTNoWS,CART
Breast Cancer,1,0.2 (0.0),0.2 (0.0),0.0008 (0.0001)
Breast Cancer,2,39.6 (12.7),31.5 (11.9),0.0009 (0.0002)
Breast Cancer,3,546.5 (161.9),569.0 (94.4),0.0008 (0.0002)
Breast Cancer,4,578.6 (66.2),583.4 (51.7),0.0009 (0.0002)
Car Evaluation,1,2.5 (0.6),2.8 (1.0),0.001 (0.0002)
Car Evaluation,2,561.2 (64.9),538.8 (123.9),0.001 (0.0002)
Car Evaluation,3,601.6 (0.1),601.6 (0.1),0.001 (0.0002)
Car Evaluation,4,603.6 (0.1),603.6 (0.3),0.0011 (0.0002)
Credit Approval,1,1.5 (0.7),1.8 (1.2),0.001 (0.0003)
Credit Approval,2,579.5 (61.6),600.3 (0.0),0.0012 (0.0003)
Credit Approval,3,600.7 (0.1),600.7 (0.2),0.0013 (0.0003)
Credit Approval,4,601.4 (0.1),601.4 (0.1),0.0017 (0.0005)
Heart Disease,1,1.7 (0.4),1.6 (0.7),0.0009 (0.0002)
Heart Disease,2,554.9 (103.2),525.2 (101.9),0.0009 (0.0001)
Heart Disease,3,600.6 (0.2),600.6 (0.2),0.0011 (0.0003)
Heart Disease,4,600.9 (0.1),600.8 (0.1),0.0013 (0.0004)
Ionosphere,1,1.3 (0.8),1.9 (1.0),0.0011 (0.0002)
Ionosphere,2,447.6 (244.8),434.7 (252.0),0.0018 (0.0004)
Ionosphere,3,497.2 (211.7),502.1 (198.2),0.002 (0.0003)
Ionosphere,4,480.8 (223.2),480.9 (223.1),0.0018 (0.0001)
Iris,1,0.2 (0.0),0.2 (0.0),0.0008 (0.0002)
Iris,2,9.9 (4.7),6.8 (1.1),0.0011 (0.0003)
Iris,3,58.7 (69.0),56.7 (64.0),0.0008 (0.0001)
Iris,4,312.2 (285.6),311.5 (285.9),0.0008 (0.0001)
Mushroom,1,14.2 (3.4),24.0 (6.8),0.0017 (0.0002)
Mushroom,2,460.3 (235.0),501.0 (170.3),0.0021 (0.0002)
Mushroom,3,592.8 (39.4),592.4 (40.3),0.0023 (0.0002)
Mushroom,4,614.1 (1.3),614.1 (1.3),0.0024 (0.0004)
Statlog (German Credit Data),1,3.3 (1.1),3.4 (1.4),0.001 (0.0002)
Statlog (German Credit Data),2,600.5 (0.1),600.5 (0.0),0.0013 (0.0003)
Statlog (German Credit Data),3,601.0 (0.0),601.0 (0.1),0.0016 (0.0002)
Statlog (German Credit Data),4,602.5 (0.2),602.4 (0.2),0.0018 (0.0003)
Wine,1,0.5 (0.3),0.5 (0.2),0.0009 (0.0002)
Wine,2,9.5 (9.2),12.9 (8.3),0.001 (0.0002)
Wine,3,22.8 (25.1),30.4 (22.4),0.0012 (0.0002)
Wine,4,34.6 (26.5),43.4 (42.0),0.001 (0.0002)
Zoo,1,0.1 (0.0),0.1 (0.0),0.0007 (0.0002)
Zoo,2,4.4 (1.2),4.3 (1.7),0.0009 (0.0002)
Zoo,3,145.7 (100.9),144.0 (99.5),0.0009 (0.0002)
Zoo,4,518.7 (197.0),476.3 (214.5),0.0009 (0.0003)
