instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
Heart failure,2,0,37,0.8513513513513513,0.7702702702702703,0.6533333333333333,455.47877192497253,0.0
Heart failure,2,0.01,37,0.8513513513513513,0.7702702702702703,0.6533333333333333,585.7548499107361,0.0
Heart failure,2,0.1,37,0.7972972972972973,0.7432432432432432,0.68,214.47342205047607,0.0
Heart failure,2,0,42,0.8513513513513513,0.7027027027027027,0.6666666666666666,213.9971420764923,0.0
Heart failure,2,0.01,42,0.8513513513513513,0.6621621621621622,0.72,436.1121709346771,0.0
Heart failure,2,0.1,42,0.7972972972972973,0.6621621621621622,0.72,394.01096510887146,0.0
Heart failure,3,0,37,0.9054054054054054,0.8243243243243243,0.7733333333333333,601.0050699710846,0.9999999999999999
Heart failure,3,0.01,37,0.8851351351351351,0.8108108108108109,0.7466666666666667,600.409569978714,0.919573575249774
Heart failure,3,0.1,37,0.7972972972972973,0.7432432432432432,0.68,600.540549993515,0.5564304461942217
Heart failure,3,0,42,0.8918918918918919,0.6621621621621622,0.7333333333333333,600.9606239795685,1.0
Heart failure,3,0.01,42,0.8851351351351351,0.7297297297297297,0.7733333333333333,600.4494559764862,0.90625
Heart failure,3,0.1,42,0.7972972972972973,0.6621621621621622,0.72,600.5297360420227,0.48717948717948717
